VENDOR_GROUP,FIRST_NAME,LAST_NAME
,,
GROUP | 1,John,Smith
GROUP | 1,Jane,Doe
GROUP | 1,Mike,Johnson
GROUP | 1,Sarah,Williams
GROUP | 1,David,Brown
GROUP | 1,Lisa,Davis
GROUP | 1,Tom,Miller
GROUP | 1,Amy,Wilson
GROUP | 1,Chris,Moore
GROUP | 1,Emma,Taylor
GROUP | 1,Alex,Anderson
,,
GROUP | 2,Robert,Thomas
GROUP | 2,Jennifer,Jackson
GROUP | 2,Michael,White
GROUP | 2,Jessica,Harris
GROUP | 2,Daniel,Martin
GROUP | 2,Amanda,Garcia
GROUP | 2,James,Rodriguez
GROUP | 2,Nicole,Lewis
GROUP | 2,Christopher,Lee
,,
GROUP | 3,Matthew,Walker
GROUP | 3,Stephanie,Hall
GROUP | 3,Andrew,Allen
GROUP | 3,Melissa,Young
,,
GROUP | 4,Vendor,Access1
GROUP | 4,Vendor,Access2
GROUP | 4,Vendor,Access3
GROUP | 4,Vendor,Access4
GROUP | 4,Vendor,Access5
GROUP | 4,Vendor,Access6
GROUP | 4,Vendor,Access7
GROUP | 4,Vendor,Access8
GROUP | 4,Vendor,Access9
GROUP | 4,Vendor,Access10
GROUP | 4,Vendor,Access11
GROUP | 4,Vendor,Access12
GROUP | 4,Vendor,Access13
GROUP | 4,Vendor,Access14
,,
GROUP | 5,Kevin,King
GROUP | 5,Rachel,Wright
GROUP | 5,Steven,Lopez
GROUP | 5,Lauren,Hill
GROUP | 5,Mark,Scott
,,
GROUP | 6,Ryan,Green
,,
GROUP | 7,Ashley,Adams
GROUP | 7,Brandon,Baker
GROUP | 7,Victoria,Gonzalez
,,
GROUP | 8,General,Employee
GROUP | 8,General,Employee
GROUP | 9,General,Employee
GROUP | 10,General,Employee
